name,country,city,continent,language,political_stance,economic_stance,latitude,longitude,flag_emoji,background,website_url,id,created_date,updated_date,created_by_id,created_by,is_sample
"Daily Nation","ケニア","ナイロビ","アフリカ","英語","中道","混合経済","-1.2921","36.8219","🇰🇪","東アフリカ最大の独立系メディア。1958年創刊で、ケニアの民主化に重要な役割を果たしてきた。","https://nation.africa/","6906a9b0e5d3bf246132aaa6","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Hindu","インド","チェンナイ","アジア","英語","中道左派","混合経済","13.0827","80.2707","🇮🇳","1878年創刊のインド最古の英字新聞。知識人層に支持され、詳細な分析記事で知られる。","https://www.thehindu.com/","6906a9b0e5d3bf246132aaa7","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Folha de S.Paulo","ブラジル","サンパウロ","南アメリカ","ポルトガル語","中道","混合経済","-23.5505","-46.6333","🇧🇷","ブラジル最大の発行部数を誇る日刊紙。1921年創刊で、調査報道に定評がある。","https://www.folha.uol.com.br/","6906a9b0e5d3bf246132aaa8","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Al Jazeera","カタール","ドーハ","中東","アラビア語","独立系","混合経済","25.2854","51.531","🇶🇦","1996年設立。中東発のグローバルニュースネットワークとして、西欧メディアとは異なる視点を提供。","https://www.aljazeera.com/","6906a9b0e5d3bf246132aaa9","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Bangkok Post","タイ","バンコク","アジア","英語","中道","自由市場","13.7563","100.5018","🇹🇭","1946年創刊のタイ最古の英字新聞。東南アジアの政治・経済動向を詳しく報じる。","https://www.bangkokpost.com/","6906a9b0e5d3bf246132aaaa","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"La Nación","アルゼンチン","ブエノスアイレス","南アメリカ","スペイン語","中道右派","自由市場","-34.6037","-58.3816","🇦🇷","1870年創刊の歴史ある新聞。アルゼンチンのエリート層に広く読まれている。","https://www.lanacion.com.ar/","6906a9b0e5d3bf246132aaab","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Mail & Guardian","南アフリカ","ヨハネスブルグ","アフリカ","英語","中道左派","混合経済","-26.2041","28.0473","🇿🇦","調査報道と批判的ジャーナリズムで知られる週刊紙。アパルトヘイト後の南アフリカの民主主義を支える。","https://mg.co.za/","6906a9b0e5d3bf246132aaac","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Le Monde","フランス","パリ","ヨーロッパ","フランス語","中道左派","混合経済","48.8566","2.3522","🇫🇷","1944年創刊。フランスの知識人層に広く読まれる高級紙。国際問題の分析に定評。","https://www.lemonde.fr/","6906a9b0e5d3bf246132aaad","2025-11-02T00:45:36.205000","2025-11-02T00:45:36.205000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"Daily Nation","ケニア","ナイロビ","アフリカ","英語","中道","混合経済","-1.286389","36.817223","🇰🇪","東アフリカ最大の新聞","https://www.nation.co.ke","69080efea1801249bbe1e8d9","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
"The Hindu","インド","チェンナイ","アジア","英語","中道左派","混合経済","13.0827","80.2707","🇮🇳","インドを代表する英字新聞","https://www.thehindu.com","69080efea1801249bbe1e8da","2025-11-03T02:10:06.231000","2025-11-03T02:10:06.231000","6906a8a756a390b09aaf81fb","so1ro.tanabe@gmail.com","false"
